time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count,hour,time_of_day,day_of_week,is_weekend,day_of_month,month,lag_3h,lag_6h,lag_12h,ewma_3h,ewma_6h,ewma_12h
2023-01-01 00:00:00,1.0,13.435,19.0,60.0,168.0,2.0,0,Night,0,0,1,01,0.0,0.0,0.0,,,
2023-01-01 01:00:00,1.0,0.9,8.0,168.0,247.0,3.0,1,Night,0,0,1,01,0.0,0.0,0.0,2.0,2.0,2.0
2023-01-01 02:00:00,1.0,1.9249999999999998,5.5,136.0,127.0,2.0,2,Night,0,0,1,01,0.0,0.0,0.0,2.5,2.2857142857142856,2.1538461538461537
2023-01-01 03:00:00,1.0,2.77,22.0,51.0,69.0,6.0,3,Night,0,0,1,01,2.0,0.0,0.0,2.25,2.204081632653061,2.130177514792899
2023-01-01 04:00:00,1.0,3.875,15.0,60.0,69.0,2.0,4,Night,0,0,1,01,3.0,0.0,0.0,4.125,3.2886297376093294,2.725534820209376
2023-01-01 05:00:00,1.5,1.405,8.0,119.0,47.0,2.0,5,Night,0,0,1,01,2.0,0.0,0.0,3.0625,2.9204498125780924,2.613914078638703
2023-01-01 06:00:00,1.0,6.07,13.5,47.0,51.0,2.0,6,Morning,0,0,1,01,6.0,2.0,0.0,2.53125,2.6574641518414945,2.519465758848133
2023-01-01 07:00:00,1.0,6.405,20.0,159.0,235.0,2.0,7,Morning,0,0,1,01,2.0,3.0,0.0,2.265625,2.4696172513153534,2.4395479497945742
2023-01-01 08:00:00,1.0,4.6,23.0,136.0,42.0,7.0,8,Morning,0,0,1,01,2.0,2.0,0.0,2.1328125,2.335440893796681,2.3719251882877166
2023-01-01 09:00:00,1.0,5.2,24.0,32.0,42.0,5.0,9,Morning,0,0,1,01,2.0,6.0,0.0,4.56640625,3.6681720669976294,3.083936697781914
2023-01-01 10:00:00,1.0,3.5,15.0,247.0,32.0,7.0,10,Morning,0,0,1,01,2.0,2.0,0.0,4.783203125,4.048694333569735,3.3787156673539274
2023-01-01 11:00:00,1.0,2.695,26.0,167.0,47.0,8.0,11,Morning,0,0,1,01,7.0,2.0,0.0,5.8916015625,4.891924523978382,3.9358363339148617
2023-01-01 12:00:00,1.0,1.75,34.0,167.0,42.0,4.0,12,Afternoon,0,0,1,01,5.0,2.0,2.0,6.94580078125,5.779946088555987,4.561092282543345
2023-01-01 13:00:00,1.0,3.5,21.0,18.0,136.0,4.0,13,Afternoon,0,0,1,01,7.0,2.0,3.0,5.472900390625,5.271390063254277,4.474770392921291
2023-01-01 14:00:00,1.0,3.3,22.0,168.0,81.0,11.0,14,Afternoon,0,0,1,01,8.0,7.0,2.0,4.7364501953125,4.90813575946734,4.401728794010324
2023-01-01 15:00:00,1.0,3.15,21.0,159.0,39.0,8.0,15,Afternoon,0,0,1,01,4.0,5.0,6.0,7.86822509765625,6.648668399619528,5.416847441085658
2023-01-01 16:00:00,1.0,6.3999999999999995,25.0,47.0,81.0,2.0,16,Evening,0,0,1,01,4.0,7.0,2.0,7.934112548828125,7.034763142585377,5.81425552707248
2023-01-01 17:00:00,3.5,0.8500000000000001,5.0,31.0,20.0,2.0,17,Evening,0,0,1,01,11.0,8.0,2.0,4.9670562744140625,5.596259387560984,5.227446984445945
2023-01-01 18:00:00,1.0,3.54,19.0,94.0,182.0,1.0,18,Evening,0,0,1,01,8.0,4.0,2.0,3.4835281372070312,4.568756705400703,4.730916679146569
2023-01-01 19:00:00,1.0,5.59,27.5,69.0,3.0,4.0,19,Evening,0,0,1,01,2.0,4.0,2.0,2.2417640686035156,3.5491119324290734,4.156929497739404
2023-01-01 20:00:00,1.0,1.97,10.0,60.0,47.0,3.0,20,Evening,0,0,1,01,2.0,11.0,7.0,3.120882034301758,3.6779370945921954,4.132786498087188
2023-01-01 21:00:00,2.0,5.09,18.0,18.0,213.0,1.0,21,Evening,0,0,1,01,1.0,8.0,5.0,3.060441017150879,3.484240781851568,3.9585116522276205
2023-01-01 22:00:00,2.0,5.09,18.0,51.0,42.0,1.0,22,Night,0,0,1,01,4.0,2.0,7.0,2.0302205085754395,2.774457701322549,3.503356013423371
2023-01-01 23:00:00,1.5,2.25,11.0,119.0,78.0,2.0,23,Night,0,0,1,01,3.0,2.0,8.0,1.5151102542877197,2.2674697866589635,3.1182243190505448
2023-01-02 00:00:00,1.0,1.11,5.0,159.0,167.0,1.0,0,Night,1,0,2,01,1.0,1.0,4.0,1.7575551271438599,2.191049847613545,2.946189808427384
2023-01-02 01:00:00,1.0,0.12,1.0,126.0,126.0,1.0,1,Night,1,0,2,01,1.0,4.0,4.0,1.37877756357193,1.8507498911525322,2.646775991746248
2023-01-02 02:00:00,2.0,0.95,11.0,240.0,240.0,1.0,2,Night,1,0,2,01,2.0,3.0,11.0,1.189388781785965,1.60767849368038,2.393425839169902
2023-01-02 03:00:00,1.0,7.390000000000001,15.0,20.0,138.0,2.0,3,Night,1,0,2,01,1.0,1.0,8.0,1.0946943908929825,1.4340560669145572,2.179052633143763
2023-01-02 04:00:00,1.0,7.390000000000001,15.0,51.0,42.0,2.0,4,Night,1,0,2,01,1.0,1.0,2.0,1.5473471954464912,1.595754333510398,2.151506074198569
2023-01-02 05:00:00,1.0,13.45,27.5,18.0,137.0,4.0,5,Night,1,0,2,01,1.0,2.0,2.0,1.7736735977232456,1.7112530953645702,2.1281974473987892
2023-01-02 06:00:00,1.0,13.8,29.0,47.0,35.0,5.0,6,Morning,1,0,2,01,2.0,1.0,1.0,2.886836798861623,2.3651807824032645,2.4161670708758987
2023-01-02 07:00:00,1.0,4.800000000000001,34.5,78.0,242.0,2.0,7,Morning,1,0,2,01,2.0,1.0,4.0,3.9434183994308114,3.117986273145189,2.8136798292026834
2023-01-02 08:00:00,1.0,1.0,37.0,159.0,18.0,3.0,8,Morning,1,0,2,01,4.0,1.0,3.0,2.9717091997154057,2.798561623675135,2.6884983170176553
2023-01-02 09:00:00,1.0,2.35,27.5,69.0,69.0,6.0,9,Morning,1,0,2,01,5.0,2.0,1.0,2.985854599857703,2.856115445482239,2.7364216528610927
2023-01-02 10:00:00,1.0,3.1,24.5,213.0,119.0,4.0,10,Morning,1,0,2,01,2.0,2.0,1.0,4.492927299928851,3.754368175344456,3.2385106293440016
2023-01-02 11:00:00,1.0,2.52,25.0,119.0,41.0,3.0,11,Morning,1,0,2,01,3.0,4.0,2.0,4.246463649964426,3.8245486966746114,3.3556628402141553
2023-01-02 12:00:00,1.0,8.0,35.5,60.0,31.0,8.0,12,Afternoon,1,0,2,01,6.0,5.0,1.0,3.623231824982213,3.5889633547675794,3.300945480181208
2023-01-02 13:00:00,1.0,16.35,40.0,47.0,50.0,2.0,13,Afternoon,1,0,2,01,4.0,2.0,1.0,5.811615912491106,4.849259539119699,4.023876944768714
2023-01-02 14:00:00,1.0,15.3,41.5,51.0,19.0,6.0,14,Afternoon,1,0,2,01,3.0,3.0,1.0,3.905807956245553,4.0351853850855,3.7125112609581428
2023-01-02 15:00:00,1.0,10.5,76.0,254.0,140.0,1.0,15,Afternoon,1,0,2,01,8.0,6.0,2.0,4.952903978122777,4.596560989346785,4.064432605426121
2023-01-02 16:00:00,1.0,1.3,15.0,47.0,60.0,3.0,16,Evening,1,0,2,01,2.0,4.0,2.0,2.9764519890613883,3.5689721352477037,3.5929814353605636
2023-01-02 17:00:00,1.0,2.14,15.0,247.0,42.0,3.0,17,Evening,1,0,2,01,6.0,3.0,4.0,2.988225994530694,3.406408668034074,3.501753522228169
2023-01-02 18:00:00,1.0,11.0,44.0,69.0,225.0,1.0,18,Evening,1,0,2,01,1.0,8.0,5.0,2.994112997265347,3.2902919057386244,3.4245606726546045
2023-01-02 19:00:00,1.0,11.0,44.0,51.0,42.0,1.0,19,Evening,1,0,2,01,3.0,2.0,2.0,1.9970564986326735,2.635922789813303,3.05155133840005
2023-01-02 20:00:00,4.0,8.98,12.0,240.0,184.0,1.0,20,Evening,1,0,2,01,3.0,6.0,3.0,1.4985282493163368,2.168516278438074,2.735928055569273
2023-01-02 21:00:00,2.0,1.28,5.0,159.0,47.0,1.0,21,Evening,1,0,2,01,1.0,1.0,6.0,1.2492641246581684,1.8346544845986241,2.468862200866308
2023-01-02 22:00:00,5.0,3.59,13.0,168.0,237.0,1.0,22,Night,1,0,2,01,1.0,3.0,4.0,1.1246320623290842,1.596181774713303,2.24288340073303
2023-01-02 23:00:00,5.0,3.59,13.0,51.0,42.0,1.0,23,Night,1,0,2,01,1.0,3.0,3.0,1.062316031164542,1.4258441247952163,2.051670569851025
2023-01-03 00:00:00,1.0,0.78,5.0,94.0,18.0,1.0,0,Night,2,0,3,01,1.0,1.0,8.0,1.031158015582271,1.304174374853726,1.889875097566252
2023-01-03 01:00:00,1.0,0.78,5.0,51.0,42.0,1.0,1,Night,2,0,3,01,1.0,1.0,2.0,1.0155790077911355,1.2172674106098043,1.7529712364022132
2023-01-03 02:00:00,2.0,1.5,7.0,159.0,69.0,3.0,2,Night,2,0,3,01,1.0,1.0,6.0,1.0077895038955678,1.1551910075784315,1.6371295077249497
2023-01-03 03:00:00,1.0,5.3,16.0,168.0,182.0,1.0,3,Night,2,0,3,01,1.0,1.0,1.0,2.003894751947784,1.6822792911274511,1.8468018911518804
2023-01-03 04:00:00,1.0,0.5,9.0,213.0,212.0,1.0,4,Night,2,0,3,01,1.0,1.0,3.0,1.501947375973892,1.4873423508053223,1.7165246771285143
2023-01-03 05:00:00,1.0,16.25,33.0,47.0,29.0,6.0,5,Night,2,0,3,01,3.0,1.0,3.0,1.250973687986946,1.3481016791466587,1.6062901114164352
2023-01-03 06:00:00,1.0,12.1,57.5,213.0,37.0,12.0,6,Morning,2,0,3,01,1.0,1.0,1.0,3.625486843993473,2.6772154851047563,2.2822454788908297
2023-01-03 07:00:00,1.0,2.45,20.5,168.0,248.0,8.0,7,Morning,2,0,3,01,1.0,1.0,1.0,7.812743421996736,5.340868203646254,3.7772846359845484
2023-01-03 08:00:00,1.0,4.35,28.0,51.0,41.0,15.0,8,Morning,2,0,3,01,6.0,3.0,1.0,7.906371710998368,6.10062014546161,4.426933153525387
2023-01-03 09:00:00,1.0,5.75,41.5,254.0,242.0,8.0,9,Morning,2,0,3,01,12.0,1.0,1.0,11.453185855499184,8.64330010390115,6.053558822213789
2023-01-03 10:00:00,1.0,4.6,34.5,242.0,242.0,10.0,10,Morning,2,0,3,01,8.0,1.0,1.0,9.726592927749593,8.459500074215107,6.353011311103976
2023-01-03 11:00:00,1.0,4.8,28.0,213.0,254.0,13.0,11,Morning,2,0,3,01,15.0,6.0,1.0,9.863296463874796,8.899642910153649,6.914086494011056
2023-01-03 12:00:00,1.0,4.1,26.0,32.0,1.0,5.0,12,Afternoon,2,0,3,01,8.0,12.0,1.0,11.431648231937398,10.071173507252606,7.850380879547817
2023-01-03 13:00:00,1.0,3.74,23.0,242.0,244.0,9.0,13,Afternoon,2,0,3,01,10.0,8.0,1.0,8.215824115968699,8.622266790894718,7.411860744232769
2023-01-03 14:00:00,1.0,4.0,22.0,47.0,250.0,6.0,14,Afternoon,2,0,3,01,13.0,15.0,3.0,8.60791205798435,8.730190564924799,7.65618986050465
2023-01-03 15:00:00,1.0,4.7,33.0,168.0,74.0,5.0,15,Afternoon,2,0,3,01,5.0,8.0,1.0,7.303956028992175,7.950136117803428,7.401391420427012
2023-01-03 16:00:00,1.0,2.1,23.0,247.0,134.0,3.0,16,Evening,2,0,3,01,9.0,10.0,1.0,6.151978014496088,7.107240084145306,7.031946586515164
2023-01-03 17:00:00,1.0,1.6400000000000001,12.5,220.0,42.0,6.0,17,Evening,2,0,3,01,6.0,13.0,6.0,4.575989007248044,5.933742917246647,6.411647111666677
2023-01-03 18:00:00,1.0,1.4,29.5,20.0,32.0,4.0,18,Evening,2,0,3,01,5.0,5.0,12.0,5.287994503624022,5.952673512319033,6.34831678679488
2023-01-03 19:00:00,1.0,5.7,30.0,32.0,5.0,3.0,19,Evening,2,0,3,01,3.0,9.0,8.0,4.643997251812011,5.394766794513595,5.987037281134129
2023-01-03 20:00:00,1.0,5.7,30.0,51.0,42.0,3.0,20,Evening,2,0,3,01,6.0,6.0,15.0,3.8219986259060055,4.710547710366853,5.527493084036571
2023-01-03 21:00:00,1.0,5.7,30.0,51.0,42.0,3.0,21,Evening,2,0,3,01,4.0,5.0,8.0,3.4109993129530025,4.221819793119181,5.138647994184791
2023-01-03 22:00:00,1.0,1.8,19.0,174.0,185.0,1.0,22,Night,2,0,3,01,3.0,3.0,10.0,3.2054996564765013,3.872728423656558,4.809625225848669
2023-01-03 23:00:00,1.0,1.8,19.0,51.0,42.0,1.0,23,Night,2,0,3,01,3.0,6.0,13.0,2.1027498282382506,3.0519488740403986,4.223529037256566
2023-01-04 00:00:00,1.0,1.8,19.0,51.0,42.0,1.0,0,Night,3,0,4,01,3.0,4.0,5.0,1.5513749141191253,2.465677767171713,3.727601493063248
2023-01-04 01:00:00,1.0,1.8,19.0,51.0,42.0,1.0,1,Night,3,0,4,01,1.0,3.0,9.0,1.2756874570595627,2.046912690836938,3.3079704941304406
2023-01-04 02:00:00,1.0,1.8,19.0,51.0,42.0,1.0,2,Night,3,0,4,01,1.0,3.0,6.0,1.1378437285297813,1.7477947791692416,2.952898110418065
2023-01-04 03:00:00,1.0,1.8,19.0,51.0,42.0,1.0,3,Night,3,0,4,01,1.0,3.0,5.0,1.0689218642648908,1.5341391279780296,2.652452247276824
2023-01-04 04:00:00,1.0,9.850000000000001,27.0,18.0,87.0,2.0,4,Night,3,0,4,01,1.0,1.0,3.0,1.0344609321324454,1.3815279485557355,2.398228824618851
2023-01-04 05:00:00,1.0,4.93,18.0,51.0,69.0,8.0,5,Night,3,0,4,01,1.0,1.0,6.0,1.5172304660662226,1.5582342489683825,2.3369628516005663
2023-01-04 06:00:00,1.0,6.0,37.0,51.0,136.0,13.0,6,Morning,3,0,4,01,1.0,1.0,4.0,4.758615233033112,3.39873874926313,3.20819933596971
2023-01-04 07:00:00,1.0,3.0,18.0,247.0,78.0,17.0,7,Morning,3,0,4,01,2.0,1.0,3.0,8.879307616516556,6.141956249473664,4.714630207358986
2023-01-04 08:00:00,1.0,4.4,37.0,167.0,233.0,11.0,8,Morning,3,0,4,01,8.0,1.0,3.0,12.939653808258278,9.24425446390976,6.6046870985345265
2023-01-04 09:00:00,1.0,2.4,18.0,213.0,169.0,15.0,9,Morning,3,0,4,01,13.0,1.0,3.0,11.969826904129139,9.745896045649829,7.280889083375369
2023-01-04 10:00:00,1.0,3.2,18.5,220.0,147.0,16.0,10,Morning,3,0,4,01,17.0,2.0,1.0,13.48491345206457,11.247068604035592,8.468444609009929
2023-01-04 11:00:00,1.0,3.5999999999999996,21.5,69.0,236.0,14.0,11,Morning,3,0,4,01,11.0,8.0,1.0,14.742456726032284,12.605049002882566,9.627145438393017
2023-01-04 12:00:00,1.0,3.9,19.0,81.0,174.0,11.0,12,Afternoon,3,0,4,01,15.0,13.0,1.0,14.371228363016142,13.003606430630406,10.299892294024861
2023-01-04 13:00:00,1.0,3.35,29.0,159.0,213.0,10.0,13,Afternoon,3,0,4,01,16.0,17.0,1.0,12.685614181508072,12.43114745045029,10.40760117186719
2023-01-04 14:00:00,1.0,3.2,22.0,18.0,47.0,9.0,14,Afternoon,3,0,4,01,14.0,11.0,1.0,11.342807090754036,11.736533893178779,10.344893299272238
2023-01-04 15:00:00,1.0,3.3,37.0,47.0,32.0,5.0,15,Afternoon,3,0,4,01,11.0,15.0,1.0,10.171403545377018,10.95466706655627,10.13798663784574
2023-01-04 16:00:00,1.0,3.35,18.0,32.0,68.0,4.0,16,Evening,3,0,4,01,10.0,16.0,2.0,7.585701772688509,9.253333618968764,9.347527155100241
2023-01-04 17:00:00,1.0,4.7,22.0,185.0,51.0,5.0,17,Evening,3,0,4,01,9.0,14.0,8.0,5.7928508863442545,7.75238115640626,8.524830669700204
2023-01-04 18:00:00,1.0,4.13,18.0,247.0,32.0,8.0,18,Evening,3,0,4,01,5.0,11.0,13.0,5.396425443172127,6.965986540290186,7.982549028207865
2023-01-04 19:00:00,1.0,7.5,27.0,51.0,74.0,8.0,19,Evening,3,0,4,01,4.0,10.0,17.0,6.698212721586064,7.261418957350132,7.9852337930989625
2023-01-04 20:00:00,1.0,4.4,20.5,32.0,42.0,4.0,20,Evening,3,0,4,01,5.0,9.0,11.0,7.349106360793032,7.472442112392952,7.987505517237584
2023-01-04 21:00:00,1.0,11.315,720.0,78.0,132.0,2.0,21,Evening,3,0,4,01,8.0,5.0,15.0,5.674553180396516,6.480315794566394,7.374043129970263
2023-01-04 22:00:00,1.0,11.315,720.0,51.0,42.0,2.0,22,Night,3,0,4,01,8.0,4.0,16.0,3.837276590198258,5.200225567547425,6.547267263820992
2023-01-04 23:00:00,1.0,1.6,7.0,147.0,74.0,3.0,23,Night,3,0,4,01,4.0,5.0,14.0,2.9186382950991288,4.2858754053910175,5.847687684771609
2023-01-05 00:00:00,1.0,1.6,7.0,51.0,42.0,3.0,0,Night,4,0,5,01,2.0,8.0,11.0,2.9593191475495644,3.9184824324221554,5.409581887114438
2023-01-05 01:00:00,1.0,9.13,32.0,168.0,254.0,1.0,1,Night,4,0,5,01,2.0,8.0,10.0,2.979659573774782,3.6560588803015395,5.038876981404525
2023-01-05 02:00:00,1.0,9.13,32.0,51.0,42.0,1.0,2,Night,4,0,5,01,3.0,4.0,9.0,1.989829786887391,2.8971849145010995,4.417511291957675
2023-01-05 03:00:00,1.0,9.13,32.0,51.0,42.0,1.0,3,Night,4,0,5,01,3.0,2.0,5.0,1.4949148934436955,2.3551320817864996,3.8917403239641866
2023-01-05 04:00:00,1.0,16.15,30.0,235.0,39.0,2.0,4,Night,4,0,5,01,1.0,2.0,4.0,1.2474574467218478,1.967951486990357,3.4468571972004654
2023-01-05 05:00:00,1.0,4.3,20.5,78.0,65.0,8.0,5,Night,4,0,5,01,1.0,3.0,5.0,1.6237287233609239,1.9771082049931121,3.2242637822465476
2023-01-05 06:00:00,1.0,13.65,43.5,51.0,33.0,8.0,6,Morning,4,0,5,01,1.0,3.0,8.0,4.8118643616804615,3.697934432137937,3.958992431131694
2023-01-05 07:00:00,1.0,3.6500000000000004,44.5,47.0,47.0,10.0,7,Morning,4,0,5,01,2.0,1.0,8.0,6.405932180840231,4.927096022955669,4.580685903265279
2023-01-05 08:00:00,1.0,3.9,30.0,3.0,75.0,11.0,8,Morning,4,0,5,01,8.0,1.0,4.0,8.202966090420116,6.376497159254049,5.4144265335321595
2023-01-05 09:00:00,1.0,2.8,22.0,126.0,78.0,9.0,9,Morning,4,0,5,01,8.0,1.0,2.0,9.601483045210058,7.697497970895749,6.273745528373366
2023-01-05 10:00:00,1.0,2.55,23.5,51.0,18.0,12.0,10,Morning,4,0,5,01,10.0,2.0,2.0,9.30074152260503,8.069641407782678,6.693169293239002
2023-01-05 11:00:00,1.0,4.1,26.0,20.0,55.0,11.0,11,Morning,4,0,5,01,11.0,8.0,3.0,10.650370761302515,9.192601005559055,7.509604786586848
2023-01-05 12:00:00,1.0,2.25,17.0,247.0,167.0,16.0,12,Afternoon,4,0,5,01,9.0,8.0,3.0,10.825185380651257,9.709000718256467,8.046588665573486
2023-01-05 13:00:00,1.0,2.7,14.0,51.0,18.0,15.0,13,Afternoon,4,0,5,01,12.0,10.0,1.0,13.412592690325628,11.506429084468905,9.270190409331411
2023-01-05 14:00:00,1.0,4.75,30.0,20.0,60.0,8.0,14,Afternoon,4,0,5,01,11.0,11.0,1.0,14.206296345162814,12.504592203192075,10.151699577126578
2023-01-05 15:00:00,1.0,1.9,17.0,185.0,133.0,6.0,15,Afternoon,4,0,5,01,16.0,9.0,1.0,11.103148172581406,11.21756585942291,9.82066887295326
2023-01-05 16:00:00,1.0,2.39,27.5,136.0,7.0,10.0,16,Evening,4,0,5,01,15.0,12.0,2.0,8.551574086290703,9.72683275673065,9.23287366172968
2023-01-05 17:00:00,1.0,6.1,31.0,168.0,48.0,5.0,17,Evening,4,0,5,01,8.0,11.0,8.0,9.275787043145352,9.804880540521893,9.350893098386653
2023-01-05 18:00:00,1.0,0.5,1.0,167.0,167.0,1.0,18,Evening,4,0,5,01,6.0,16.0,8.0,7.137893521572676,8.43205752894421,8.681524929404091
2023-01-05 19:00:00,1.0,5.4,26.0,47.0,186.0,2.0,19,Evening,4,0,5,01,10.0,15.0,10.0,4.068946760786337,6.308612520674435,7.499751863341923
2023-01-05 20:00:00,1.0,5.4,26.0,51.0,42.0,2.0,20,Evening,4,0,5,01,5.0,8.0,11.0,3.0344733803931687,5.077580371910311,6.65363619205855
2023-01-05 21:00:00,1.0,2.8,28.5,32.0,42.0,2.0,21,Evening,4,0,5,01,1.0,6.0,9.0,2.5172366901965844,4.198271694221651,5.93769216251108
2023-01-05 22:00:00,1.0,4.32,12.0,208.0,164.0,2.0,22,Night,4,0,5,01,2.0,10.0,12.0,2.2586183450982924,3.570194067301179,5.331893368278607
2023-01-05 23:00:00,1.0,6.1,21.0,136.0,213.0,1.0,23,Night,4,0,5,01,2.0,5.0,11.0,2.129309172549146,3.121567190929414,4.819294388543437
2023-01-06 00:00:00,2.0,6.6,13.0,213.0,41.0,1.0,0,Night,5,0,6,01,2.0,1.0,16.0,1.564654586274573,2.5154051363781527,4.231710636459831
2023-01-06 01:00:00,2.0,18.99,24.0,235.0,265.0,1.0,1,Night,5,0,6,01,2.0,2.0,15.0,1.2823272931372864,2.082432240270109,3.73452438469678
2023-01-06 02:00:00,2.0,18.99,24.0,51.0,42.0,1.0,2,Night,5,0,6,01,1.0,2.0,8.0,1.1411636465686432,1.7731658859072208,3.31382832551266
2023-01-06 03:00:00,1.0,7.21,13.0,147.0,259.0,1.0,3,Night,5,0,6,01,1.0,2.0,6.0,1.0705818232843216,1.5522613470765863,2.9578547369722505
2023-01-06 04:00:00,1.0,23.3,34.0,235.0,39.0,1.0,4,Night,5,0,6,01,1.0,2.0,10.0,1.0352909116421607,1.3944723907689902,2.6566463158995965
2023-01-06 05:00:00,1.0,13.8,41.0,51.0,45.0,5.0,5,Night,5,0,6,01,1.0,1.0,5.0,1.0176454558210803,1.2817659934064216,2.4017776519150433
2023-01-06 06:00:00,1.0,12.45,34.0,18.0,51.0,6.0,6,Morning,5,0,6,01,1.0,1.0,1.0,3.00882272791054,2.344118566718872,2.801504167005037
2023-01-06 07:00:00,1.0,3.8,31.0,126.0,18.0,5.0,7,Morning,5,0,6,01,1.0,1.0,2.0,4.5044113639552705,3.3886561190849087,3.293580449004262
2023-01-06 08:00:00,1.0,8.33,32.0,78.0,75.0,7.0,8,Morning,5,0,6,01,5.0,1.0,2.0,4.752205681977635,3.8490400850606488,3.5561065337728373
2023-01-06 09:00:00,1.0,3.7,39.0,69.0,78.0,11.0,9,Morning,5,0,6,01,6.0,1.0,2.0,5.876102840988818,4.749314346471892,4.085936297807786
2023-01-06 10:00:00,1.0,4.8,31.0,242.0,182.0,9.0,10,Morning,5,0,6,01,5.0,1.0,2.0,8.438051420494409,6.535224533194208,5.149638405837357
2023-01-06 11:00:00,1.0,2.8,23.0,18.0,142.0,7.0,11,Morning,5,0,6,01,7.0,5.0,1.0,8.719025710247205,7.23944609513872,5.742001728016225
2023-01-06 12:00:00,1.0,5.89,29.0,32.0,242.0,9.0,12,Afternoon,5,0,6,01,11.0,6.0,1.0,7.859512855123603,7.171032925099086,5.9355399237060364
2023-01-06 13:00:00,1.0,1.7,18.0,242.0,132.0,5.0,13,Afternoon,5,0,6,01,9.0,5.0,1.0,8.429756427561802,7.6935949464993465,6.406995320058954
2023-01-06 14:00:00,1.0,5.3,31.0,47.0,47.0,7.0,14,Afternoon,5,0,6,01,7.0,7.0,1.0,6.714878213780901,6.923996390356676,6.1905345015883455
2023-01-06 15:00:00,1.0,4.9,23.0,51.0,5.0,7.0,15,Afternoon,5,0,6,01,9.0,11.0,1.0,6.8574391068904506,6.945711707397626,6.315067655190139
2023-01-06 16:00:00,1.0,6.65,46.0,168.0,42.0,8.0,16,Evening,5,0,6,01,5.0,9.0,1.0,6.928719553445225,6.961222648141161,6.420441862083964
2023-01-06 17:00:00,1.0,1.95,21.0,241.0,18.0,4.0,17,Evening,5,0,6,01,7.0,7.0,5.0,7.464359776722612,7.258016177243687,6.663450806378738
2023-01-06 18:00:00,1.0,3.9,18.0,168.0,7.0,7.0,18,Evening,5,0,6,01,7.0,9.0,6.0,5.732179888361307,6.327154412316919,6.253689143858932
2023-01-06 19:00:00,1.0,10.299999999999999,27.5,182.0,97.0,2.0,19,Evening,5,0,6,01,8.0,5.0,5.0,6.366089944180653,6.519396008797799,6.368506198649866
2023-01-06 20:00:00,1.0,13.8,34.0,241.0,56.0,1.0,20,Evening,5,0,6,01,4.0,7.0,7.0,4.183044972090327,5.228140006284143,5.696428321934502
2023-01-06 21:00:00,1.0,8.4,20.0,51.0,143.0,2.0,21,Evening,5,0,6,01,7.0,7.0,11.0,2.5915224860451636,4.020100004488674,4.973900887790733
2023-01-06 22:00:00,1.5,3.26,14.5,247.0,119.0,2.0,22,Night,5,0,6,01,2.0,8.0,9.0,2.2957612430225818,3.442928574634767,4.516377674284466
2023-01-06 23:00:00,1.0,1.0,9.5,32.0,247.0,6.0,23,Night,5,0,6,01,1.0,4.0,7.0,2.147880621511291,3.030663267596262,4.129242647471471
2023-01-07 00:00:00,1.0,4.62,13.0,247.0,94.0,5.0,0,Night,6,0,7,01,2.0,7.0,9.0,4.0739403107556456,3.8790451911401873,4.417051470937398
2023-01-07 01:00:00,1.0,8.16,17.0,159.0,185.0,1.0,1,Night,6,0,7,01,2.0,2.0,5.0,4.536970155377823,4.1993179936715626,4.506735860023952
2023-01-07 02:00:00,1.0,0.7,1.0,136.0,136.0,1.0,2,Night,6,0,7,01,6.0,1.0,7.0,2.7684850776889114,3.2852271383368303,3.9672380354048826
2023-01-07 03:00:00,1.0,0.7,1.0,51.0,42.0,1.0,3,Night,6,0,7,01,5.0,2.0,7.0,1.8842425388444557,2.632305098812022,3.5107398761118236
2023-01-07 04:00:00,1.0,22.2,31.0,235.0,39.0,1.0,4,Night,6,0,7,01,1.0,2.0,8.0,1.4421212694222278,2.1659322134371584,3.1244722028638505
2023-01-07 05:00:00,1.0,22.2,31.0,51.0,42.0,1.0,5,Night,6,0,7,01,1.0,6.0,4.0,1.221060634711114,1.8328087238836845,2.7976303255001813
2023-01-07 06:00:00,1.0,6.43,16.0,94.0,51.0,2.0,6,Morning,6,0,7,01,1.0,5.0,7.0,1.110530317355557,1.594863374202632,2.521071813884769
2023-01-07 07:00:00,1.0,1.0,24.0,136.0,41.0,3.0,7,Morning,6,0,7,01,1.0,1.0,2.0,1.5552651586777784,1.7106166958590228,2.4409069194409585
2023-01-07 08:00:00,1.0,3.25,23.5,51.0,3.0,8.0,8,Morning,6,0,7,01,1.0,1.0,1.0,2.2776325793388894,2.0790119256135875,2.5269212395269647
2023-01-07 09:00:00,1.0,4.0,21.0,247.0,119.0,9.0,9,Morning,6,0,7,01,2.0,1.0,2.0,5.138816289669444,3.770722804009705,3.3689333565228163
2023-01-07 10:00:00,1.0,1.25,12.0,69.0,169.0,9.0,10,Morning,6,0,7,01,3.0,1.0,2.0,7.069408144834722,5.264802002864075,4.235251301673152
2023-01-07 11:00:00,1.0,6.4,31.0,69.0,81.0,5.0,11,Morning,6,0,7,01,8.0,1.0,6.0,8.03470407241736,6.332001430617196,4.968289562954205
2023-01-07 12:00:00,1.0,8.9,33.5,81.0,24.0,4.0,12,Afternoon,6,0,7,01,9.0,2.0,5.0,6.51735203620868,5.9514295932979975,4.973168091730481
2023-01-07 13:00:00,1.0,4.9,18.0,51.0,18.0,3.0,13,Afternoon,6,0,7,01,9.0,3.0,1.0,5.258676018104341,5.393878280927141,4.823449923771945
